angle_wp1	angle_wp2	cts_h	cts_v	qber
-150	20	279245.6312800791	125377.16140908508	0.6901381640519662
-150	30	334686.8058997209	93535.85687475676	0.7815719133855903
-150	40	332048.35614037776	85403.46293145606	0.7954171977946033
-150	50	288185.58663786587	105807.70312118935	0.7314479564210457
-150	60	215235.82312864804	140871.59268680654	0.6044126394722138
-150	70	156133.16914156787	179678.68644401303	0.46494239719233993
-150	80	124121.25037062216	201880.4867390199	0.38073800302750305
-150	90	139644.1967864517	187445.23282010527	0.4269297144650141
-150	100	196936.85374842337	158900.54500275909	0.5534461932320118
-150	110	269664.2424944769	119264.31983456945	0.6933516039028578
-150	120	317261.5093031541	88201.57189159104	0.7824670704131812
-150	130	318580.9385180223	89705.51653136822	0.7802877969083825
-150	140	273196.56855341076	115679.6764823047	0.7025283031323234
-150	150	198006.94289483354	159737.39359642443	0.5534872888188186
-150	160	139756.74897159866	209973.1978858645	0.3996133308782913
-150	170	118877.24874090285	247224.2490738055	0.3247111783221087
-150	180	143478.5010448428	247548.22335650824	0.36692760901317834
-140	-180	138023.92196206967	253240.14217407754	0.3527641166504926
-140	-170	259406.62710423343	177870.40334970324	0.5932317707951497
-140	-160	382848.8726211393	99405.1602137476	0.7938738643005154
-140	-150	447155.2049659229	58916.19616294634	0.8835812574440587
-140	-140	425799.44293774967	80803.46120044075	0.8404994117870289
-140	-130	284550.29927697865	141153.71892791678	0.6684228644983611
-140	-120	127051.85834099265	172924.39436712186	0.42353972087456454
-140	-110	56124.804966869575	201755.12117353402	0.21763929363122367
-140	-100	49558.51515590435	230503.6749940746	0.1769553938336509
-140	-90	82394.40548097697	151711.45704339465	0.3519536187283618
-140	-80	186310.46909934134	127772.18884071545	0.5931892907468296
-140	-70	261817.4507975978	63083.97913419133	0.8058365604994863
-140	-60	224216.2469059939	25555.968276622516	0.8976829017673653
-140	-50	193311.70230192374	30519.869591903363	0.8636480576279907
-140	-40	145502.36258818573	58355.18782247025	0.7137452711223203
-140	-30	85020.3589721065	92006.83691304085	0.4802672185310242
-140	-20	36581.93778921491	104379.52103709838	0.25951730418943536
-140	-10	28202.141869614334	104130.49198389555	0.2131155486622722
-140	0	52071.3463620606	77503.4798935183	0.4018631385957089
-140	10	87268.32591165017	43627.73955483056	0.6666993816861321
-140	20	121021.1770404452	21667.490977569243	0.8481484810354126
-140	30	134579.651309301	12833.302646138232	0.9129431823880447
-140	40	116901.81856930329	15190.486515219338	0.8850009733307377
-140	50	76549.63442900668	23924.165358906343	0.7618865275384518
-140	60	43417.621409028725	37682.12792999579	0.5353607349330799
-140	70	21361.983551246973	48016.292552351886	0.30790594334382526
-140	80	17203.379648462105	51603.731727640145	0.2500232796349753
-140	90	35058.78887764223	44937.12576572195	0.4382572414346466
-140	100	63591.93892419219	30373.036390906218	0.6767621521843167
-140	110	92006.3545551237	17304.888567545564	0.8416915948149452
-140	120	118701.92639348785	11638.575994691475	0.9107063746000492
-140	130	116649.66393019131	17633.386972736702	0.8686849393563174
-140	140	98784.59328500446	43991.267778274356	0.6918858170375366
-140	150	61307.30587394429	78667.2501213083	0.4379889290452445
-140	160	31196.102989487514	107678.52743101183	0.22463500277213083
-140	170	26237.136431365856	125384.4096255842	0.17304358855113516
-140	180	66504.53205431243	129559.44607495535	0.3391981162927595
-130	-180	105704.42222176162	133034.17275449398	0.4427621861152142
-130	-170	228841.15756619108	75574.50191124849	0.7517391121042202
-130	-160	229827.9192141024	17464.18588971512	0.929378312007238
-130	-150	207306.08341721943	8992.700399115618	0.9584246372519988
-130	-140	171724.0832111821	33569.016415165956	0.8364824902723734
-130	-130	111285.83292322834	81771.08964895013	0.5764405204460966
-130	-120	42685.55404581454	130227.11403807825	0.2468619246861925
-130	-110	9382.131189256634	154519.78879366958	0.05724235073166914
-130	-100	28468.1054584866	162264.35233841304	0.14925674312235152
-130	-90	104034.8472114243	130899.54193437437	0.4428251121076233
-130	-80	210050.1490211988	72767.62496848196	0.7427049087405057
-130	-70	276732.026572839	20494.632342322235	0.9310471260649196
-130	-60	283433.4511891302	10309.472122160287	0.9649030791756812
-130	-50	221204.7652024366	38769.1671480334	0.8508728671466614
-130	-40	138372.50627238964	89935.3766891002	0.6060785307869979
-130	-30	54310.56311164895	134119.34471351153	0.2882268729974777
-130	-20	10727.227037755176	145583.7955123917	0.06862745098039215
-130	-10	25578.58477538091	124083.61939761245	0.17090878032114792
-130	0	86307.68644507702	85621.17719369261	0.501996492144643
-130	10	163876.68127059727	43922.06261072115	0.7886317222600409
-130	20	203381.2740523	11786.687110456483	0.9452209936518344
-130	30	193285.48797090392	5851.102530122066	0.9706176423157555
-130	40	134331.9973005004	18209.277060837503	0.8806272129489124
-130	50	127864.56624113942	66845.43392294565	0.6566923431430641
-130	60	29513.76325588127	60036.15969225304	0.3295788794031136
-130	70	5445.4918990625165	57630.92016906304	0.0863316685353175
-130	80	14936.279386505481	57101.01836615619	0.20734091717028083
-130	90	55538.2210342706	49344.58123887318	0.5295264793710769
-130	100	108708.55341338832	28493.117745154683	0.7923267442403851
-130	110	167773.88994358058	10313.178604344957	0.9420891214143966
-130	120	160071.6493397054	4967.233170216795	0.9699026490323082
-130	130	154779.0691080164	26255.615581110935	0.8549691423707172
-130	140	89902.10119141726	59182.397403664596	0.6030278267601393
-130	150	32518.757054916787	86846.99977358639	0.2724295302013423
-130	160	7396.193649394104	123659.94217986977	0.05643530997304583
